Site,Block,Plot,ID,X ,Y,Number,0 cm,2.5 cm,5.0 cm,7.5 cm,10.0 cm,12.5 cm,15.0 cm,17.5 cm,20.0 cm,22.5 cm,25.0 cm,27.5 cm,30.0 cm,32.5 cm,35.0 cm,37.5 cm,40.0 cm,42.5 cm,45.0 cm,Cone Size
MCL,4,2,4,4,1,N= 4 ,276,448,1208,1622,1380,1518,1346,862,690,690,621,656,586,656,552,448,552,690,690,1/2 Inch
MCL,4,2,5,5,1,N= 5 ,483,621,1173,1311,1138,1000,1070,1138,690,656,483,621,586,656,862,932,932,1380,1414,1/2 Inch
MCL,4,2,6,6,1,N= 6 ,345,483,2277,1725,1518,862,621,1276,1242,794,724,759,794,828,828,1276,1346,1449,1242,1/2 Inch
MCL,4,2,7,7,1,N= 7 ,345,414,1000,207,69,172,414,724,483,414,448,380,380,483,552,414,345,483,483,1/2 Inch
MCL,4,2,8,8,1,N= 8 ,242,276,897,1794,2794,2208,1518,2001,966,828,828,656,690,724,897,897,966,1138,828,1/2 Inch
MCL,4,2,9,1,2,N= 9 ,310,310,552,862,966,897,897,828,759,621,621,586,552,1138,1000,724,759,759,966,1/2 Inch
MCL,4,2,10,2,2,N= 10 ,242,242,310,966,966,1070,862,794,690,586,621,794,794,1070,1000,1208,1104,1104,1346,1/2 Inch
MCL,4,2,11,3,2,N= 11 ,310,345,276,656,1414,1484,1518,1587,1276,1104,966,794,966,2760,0,0,0,0,0,1/2 Inch
MCL,4,2,12,4,2,N= 12 ,380,380,586,1276,1242,1138,1690,1000,2242,0,0,0,0,0,0,0,0,0,0,1/2 Inch
MCL,4,2,13,5,2,N= 13 ,276,345,1208,1828,2139,1242,1138,724,724,690,621,621,690,656,345,345,656,828,828,1/2 Inch
MCL,4,2,14,6,2,N= 14 ,656,862,1173,1414,1208,690,448,862,621,552,552,448,380,345,276,242,380,656,621,1/2 Inch
MCL,4,2,15,7,2,N= 15 ,483,483,724,794,1208,1656,1656,1276,759,1070,932,828,656,621,586,586,690,759,828,1/2 Inch
MCL,4,2,16,8,2,N= 16 ,1380,1380,1484,1311,897,1346,1690,1414,1622,1104,932,932,966,1000,1276,1208,1242,1346,1414,1/2 Inch
MCL,4,2,17,1,3,N= 17 ,276,310,552,1070,1000,690,1000,1138,1000,897,897,690,794,966,862,759,897,932,966,1/2 Inch
MCL,4,2,18,2,3,N= 18 ,207,345,483,897,897,862,862,862,794,724,586,656,794,828,724,690,1173,1208,1173,1/2 Inch
MCL,4,2,19,3,3,N= 19 ,310,310,345,724,656,586,483,310,310,586,552,483,724,724,621,656,690,724,828,1/2 Inch
MCL,4,2,20,4,3,N= 20 ,380,380,759,1173,1346,1518,1966,966,448,586,759,621,724,828,862,828,759,656,656,1/2 Inch
MCL,4,2,21,5,3,N= 21 ,862,1138,1656,1690,1656,966,1173,932,897,862,656,656,794,862,656,828,1000,862,1138,1/2 Inch
MCL,4,2,22,6,3,N= 22 ,310,276,380,724,656,414,242,138,448,380,276,276,552,656,656,690,724,690,656,1/2 Inch
MCL,4,2,23,7,3,N= 23 ,345,552,1276,2036,1622,1276,1276,1138,1518,1276,932,1104,828,862,724,862,862,828,794,1/2 Inch
MCL,4,2,24,8,3,N= 24 ,380,862,1587,1518,1242,656,656,794,932,1104,690,552,828,586,621,690,759,759,862,1/2 Inch
MCL,4,2,25,1,4,N= 25 ,69,207,172,207,345,552,310,345,310,172,586,483,414,448,552,586,586,586,586,1/2 Inch
MCL,4,2,26,2,4,N= 26 ,345,621,1311,1725,1518,1070,1000,586,345,414,552,483,586,0,0,0,0,0,0,1/2 Inch
MCL,4,2,27,3,4,N= 27 ,172,448,656,690,1138,1173,1104,794,1208,1622,862,690,690,621,656,690,690,690,586,1/2 Inch
MCL,4,2,28,4,4,N= 29 ,242,242,448,242,172,276,380,345,656,656,586,414,345,276,345,380,483,724,794,1/2 Inch
MCL,4,2,29,5,4,N= 30 ,104,104,1104,1690,1346,656,862,1828,1863,794,1070,1138,1276,1276,1000,1070,862,897,862,1/2 Inch
