"","4-waygrass","achmol","aegtri","agohet","aircar","amsmen","anaarv","avebar","avefat","bare","brimax","brimin","brocar","brodia","brohor","bromad","broster","calcil","callut","calpar","carpac","cardamine","casatt","cenmil","cenmil (not?)","cerglo","clapur","conarv","croset","cynech","daucpusil","delvar","diccap","dicmul","elygla","erobot","eupspa","filgal","galpar","gerdis","greenbrush","hypgla","laccil","lacser","lagophylla","latsph","linpar","lolmul","lomatium","longawnbrome","lotmic","lotpur","lotwra","lotus","lupbic","luzcom","madgra","miccal","naspul","navpub","notago","petdub","plalan","planot","poasecunda","purplecup","purpleflower","rancal","trihir","rock","shearv","shieldseed","sidalcea","sisbel","taecap","torilis","tribif","trialbo","tricil","tridub","trieri","trifuc","trigra","trihya","trilax","trimicroceph","trimicrodon","triwhite","triwil","triwra","vicsat","unktar","vicvil","vulmyu","whiterib","whorledtarweed","zigadenus","collinsia","delgra","galapa","germol","astragalus","linbic","oak","pink cup opposite","sanbip","scapec","thycur","unkforb","wood"
"1072","","","3","","","","","","","10","5","","","","1","","","","","","1","","","","","","2","","","","1","","","","","1","","","","2","","","","","","1","","","","","2","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","1","","",""
"1088","","","3","","","","","","","25","5","","","1","2","","","","","","","","","1","","","2","","","","","","","","","","","","2","1","","","","","","2","","","","","1","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1026","","","2","","","","","2","","","5","","","2","2","","","","","","","","","","","","","","","","1","","","","","","1","","1","2","","","","","","2","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1042","","","4","","","","","","","","5","","","","2","","","","","","","","","1","","","2","","","","1","","","","","","2","","1","3","","2","","","","2","","","","","","","","","1","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1058","","","3","","","","","1","","","5","","","3","2","","","","","","","","","","","","2","","","","4","","","","","1","1","","","2","","1","","","","","","","","","","","","","2","","2","","","","","","","","","","","","","","","","2","","","1","","","1","","","","","","","2","","","","","2","","","","","","","","","","","","","","","","4","","",""
"1074","","","","","","","","","","","5","","","3","3","","","","","","2","","","","","","2","","","","2","","","","","1","1","","","","","1","","","","","","","","","1","","","","2","","2","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1027","","","3","","","","","1","","","4","","","2","3","","","","","","","","","","","","1","","","","1","","","","","","1","","","3","","","","","","1","","","","","","","","","2","","3","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","2","","","","","2","","","","","","","","","","","","","","","","","","",""
"1043","","","1","","","","","2","","","4","","","3","4","","","","","","","","","","","","2","","","","2","","","","","","1","","1","3","","2","","","","1","","","","","","","","","3","","3","","","","","","","","","","","","","","","","2","","","","","","2","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","3","","",""
"1059","","","3","","","","","2","","","5","","","2","2","","","","1","","","","","","","","","","","","2","","2","","","","1","","1","2","","1","","","","1","","","","","","","","","2","","2","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1075","","","1","","","","","","","","5","","","2","2","","","","","","1","","","1","","","2","","","","","","","","","1","1","","","1","","","","","","2","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","",""
"1028","","","1","","","","","2","","15","5","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1044","","","2","","","","","2","","3","5","","","3","3","","","","","","","","","","","","","","","","3","","","","","1","1","","","2","","","","","","2","","","","","","","","","2","","3","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","1","1","","","","2","","","","","","","","","","","","","","","","2","","",""
"1060","","","4","","","","","1","","","5","","","2","2","","","","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","",""
"1076","","","","","","","","1","","","5","","","2","3","","","","","","","","","","","","1","","","","1","","","","","2","1","","1","1","","2","","","","2","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","2","1","","","","2","","","","","","","","","","","","","","","","2","","",""
"1029","","","","","","","","2","","","5","","","2","1","","","","","","","","","","","","","","","","2","","1","","","","","","","2","","","","","","1","","","1","","","","","","1","","2","","","","","","","","","","","2","","","","","1","","","2","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","2","1","","",""
"1045","","","","","","","","2","","","5","","","3","4","","","","","","","","","","","","1","","","","2","","","","","1","","","","3","","","","","","2","","","","","","","","","3","","3","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","2","","","","","2","","","","","","","","","","1","","","","","","2","","",""
"1061","","","2","","","","","2","","","5","","","3","3","","","","","","","","","","","","","","","","1","","","","","1","","","1","2","","","","","","2","","","","","2","","","","2","","1","","","","","","","","","","","","","","","","1","","","1","","","2","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","",""
"1077","","","","","","","","1","","","5","","","2","3","","","","","","","","","","","","1","","","","","","","","","2","","","","2","","","","","","2","","","","","2","","","","1","","2","","","","","","","","","","","","","","","","2","","","","","","1","","","","","","","2","","","","","2","","","","","","","","","","","","","","","","","","",""
"1030","","","","","","","","2","","","5","","","2","1","","","","","","","","","","","","1","","","","","","","","","","1","","1","2","","","","","","1","","","2","","","","","","","","2","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","",""
"1046","","","","","","","","1","","","5","","","2","3","","","","","","","","","1","","","1","","","","1","","","","","","1","","1","4","","2","","","","2","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","",""
"1062","","","","","","","","1","","","5","","","2","2","","","","","","","","","","","","1","","","","","","","","","1","","","","4","","2","","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","1","","",""
"1078","","","","","","","","2","","","5","","","2","2","","","","","","1","","","1","","","1","","","","","","","","","2","","","","","","","","","","2","","","","","2","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","",""
"1031","","","3","","","","","","","5","5","","","","1","","","","","","","","","","","","2","","","","","","","","","","1","","1","3","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1047","","","","","","","","1","","","5","","","1","2","","1","","","","","","","","","","2","","","","1","","","","2","","2","","","2","","","","","","1","","","","","","","","","1","","2","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","",""
"1063","","","","","","","","","","","5","","","1","2","","1","","","","1","","","","","","","","","","1","","","","","1","","","1","3","","1","","","","1","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","3","","","","","","","","","","","","","","","","1","","",""
"1079","","","2","","","","","","","","6","","","","1","","","","","","","","","","","","1","","","","1","","","","","1","","","","2","","","","","","1","","","","","2","","","","1","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","",""
"1032","","","3","","","","","","","3","5","","","","2","","","","","","","","","","","","1","","","","","","","","","","1","","","3","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1048","","","","","","","","1","","","5","","","2","1","","3","","","","","","","","","","3","","","","2","","","","","1","1","","","3","","","","","","2","","","","","","","","","2","","2","1","","","","","","","","","","","1","","","","1","","","1","","","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","",""
"1064","","","3","","","","","1","","","5","","","2","2","","","","","","","","","","","","1","","","","","","","","","1","1","","","2","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","",""
"1080","","","2","","","","","","","12","5","","","","2","","","","","","","","","1","","","2","","","","1","","","","","","","","1","2","","","","","","1","","","","","2","","","","","","2","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","",""
