block,plot,subplotres,subplotno,index,site_code,year,experiment_type,x,y,mid_x,mid_y,bl_x,ul_x,ur_x,br_x,bl_y,ul_y,ur_y,br_y
1,6,0.25,6,76,HREC,2016,observational,1,2,5.625,3.375,5.5,5.5,5.75,5.75,3.25,3.5,3.5,3.25
1,6,0.25,7,77,HREC,2016,observational,1,1,5.625,3.625,5.5,5.5,5.75,5.75,3.5,3.75,3.75,3.5
1,6,0.25,8,78,HREC,2016,observational,1,2,5.625,3.875,5.5,5.5,5.75,5.75,3.75,4,4,3.75
1,6,0.5,1,79,HREC,2016,observational,1,2,4.25,3.75,4,4,4.5,4.5,3.5,4,4,3.5
1,6,0.5,2,80,HREC,2016,observational,2,2,4.75,3.75,4.5,4.5,5,5,3.5,4,4,3.5
1,6,0.5,3,81,HREC,2016,observational,2,1,5.75,3.25,5.5,5.5,6,6,3,3.5,3.5,3
1,6,0.5,4,82,HREC,2016,observational,2,2,5.75,3.75,5.5,5.5,6,6,3.5,4,4,3.5
1,6,1,1,83,HREC,2016,observational,1,2,4.5,3.5,4,4,5,5,3,4,4,3
1,6,1,2,84,HREC,2016,observational,2,2,5.5,3.5,5,5,6,6,3,4,4,3
1,7,0.25,1,85,HREC,2016,observational,1,1,4.125,5.125,4,4,4.25,4.25,5,5.25,5.25,5
1,7,0.25,2,86,HREC,2016,observational,2,1,4.375,5.375,4.25,4.25,4.5,4.5,5.25,5.5,5.5,5.25
1,7,0.25,3,87,HREC,2016,observational,1,2,4.125,5.625,4,4,4.25,4.25,5.5,5.75,5.75,5.5
1,7,0.25,4,88,HREC,2016,observational,2,2,4.125,5.875,4,4,4.25,4.25,5.75,6,6,5.75
1,7,0.25,5,89,HREC,2016,observational,1,1,5.625,4.125,5.5,5.5,5.75,5.75,4,4.25,4.25,4
1,7,0.25,6,90,HREC,2016,observational,2,2,5.875,4.125,5.75,5.75,6,6,4,4.25,4.25,4
1,7,0.25,7,91,HREC,2016,observational,1,1,5.625,4.875,5.5,5.5,5.75,5.75,4.75,5,5,4.75
1,7,0.25,8,92,HREC,2016,observational,1,2,5.875,4.875,5.75,5.75,6,6,4.75,5,5,4.75
1,7,0.5,1,93,HREC,2016,observational,2,1,4.25,5.25,4,4,4.5,4.5,5,5.5,5.5,5
1,7,0.5,2,94,HREC,2016,observational,2,2,4.25,5.75,4,4,4.5,4.5,5.5,6,6,5.5
1,7,0.5,3,95,HREC,2016,observational,1,1,5.75,4.25,5.5,5.5,6,6,4,4.5,4.5,4
1,7,0.5,4,96,HREC,2016,observational,1,2,5.75,4.75,5.5,5.5,6,6,4.5,5,5,4.5
1,7,1,1,97,HREC,2016,observational,2,1,4.5,5.5,4,4,5,5,5,6,6,5
1,7,1,2,98,HREC,2016,observational,1,2,5.5,4.5,5,5,6,6,4,5,5,4
1,8,0.25,1,99,HREC,2016,observational,1,2,6.125,7.375,6,6,6.25,6.25,7.25,7.5,7.5,7.25
1,8,0.25,2,100,HREC,2016,observational,2,2,6.375,7.375,6.25,6.25,6.5,6.5,7.25,7.5,7.5,7.25
1,8,0.25,3,101,HREC,2016,observational,1,1,6.625,7.125,6.5,6.5,6.75,6.75,7,7.25,7.25,7
1,8,0.25,4,102,HREC,2016,observational,2,2,6.875,7.375,6.75,6.75,7,7,7.25,7.5,7.5,7.25
1,8,0.25,5,103,HREC,2016,observational,1,2,7.125,7.875,7,7,7.25,7.25,7.75,8,8,7.75
1,8,0.25,6,104,HREC,2016,observational,2,1,7.375,7.625,7.25,7.25,7.5,7.5,7.5,7.75,7.75,7.5
1,8,0.25,7,105,HREC,2016,observational,1,2,7.625,7.375,7.5,7.5,7.75,7.75,7.25,7.5,7.5,7.25
1,8,0.25,8,106,HREC,2016,observational,2,1,7.875,7.125,7.75,7.75,8,8,7,7.25,7.25,7
1,8,0.5,1,107,HREC,2016,observational,1,1,6.25,7.25,6,6,6.5,6.5,7,7.5,7.5,7
1,8,0.5,2,108,HREC,2016,observational,2,1,6.75,7.25,6.5,6.5,7,7,7,7.5,7.5,7
1,8,0.5,3,109,HREC,2016,observational,1,2,7.25,7.75,7,7,7.5,7.5,7.5,8,8,7.5
1,8,0.5,4,110,HREC,2016,observational,2,1,7.75,7.25,7.5,7.5,8,8,7,7.5,7.5,7
1,8,1,1,111,HREC,2016,observational,1,2,6.5,7.5,6,6,7,7,7,8,8,7
1,8,1,2,112,HREC,2016,observational,2,2,7.5,7.5,7,7,8,8,7,8,8,7
2,1,0.25,1,113,HREC,2016,observational,1,1,3.125,9.125,3,3,3.25,3.25,9,9.25,9.25,9
2,1,0.25,2,114,HREC,2016,observational,2,2,3.375,9.375,3.25,3.25,3.5,3.5,9.25,9.5,9.5,9.25
2,1,0.25,3,115,HREC,2016,observational,1,2,3.625,9.375,3.5,3.5,3.75,3.75,9.25,9.5,9.5,9.25
2,1,0.25,4,116,HREC,2016,observational,2,1,3.875,9.125,3.75,3.75,4,4,9,9.25,9.25,9
2,1,0.25,5,117,HREC,2016,observational,2,1,3.375,10.125,3.25,3.25,3.5,3.5,10,10.25,10.25,10
2,1,0.25,6,118,HREC,2016,observational,2,2,3.375,10.375,3.25,3.25,3.5,3.5,10.25,10.5,10.5,10.25
2,1,0.25,7,119,HREC,2016,observational,1,2,3.625,10.375,3.5,3.5,3.75,3.75,10.25,10.5,10.5,10.25
2,1,0.25,8,120,HREC,2016,observational,2,1,3.875,10.125,3.75,3.75,4,4,10,10.25,10.25,10
2,1,0.5,1,121,HREC,2016,observational,1,1,3.25,9.25,3,3,3.5,3.5,9,9.5,9.5,9
2,1,0.5,2,122,HREC,2016,observational,2,1,3.75,9.25,3.5,3.5,4,4,9,9.5,9.5,9
2,1,0.5,3,123,HREC,2016,observational,1,1,3.25,10.25,3,3,3.5,3.5,10,10.5,10.5,10
2,1,0.5,4,124,HREC,2016,observational,2,1,3.75,10.25,3.5,3.5,4,4,10,10.5,10.5,10
2,1,1,1,125,HREC,2016,observational,2,1,3.5,9.5,3,3,4,4,9,10,10,9
2,1,1,2,126,HREC,2016,observational,2,2,3.5,10.5,3,3,4,4,10,11,11,10
2,2,0.25,1,127,HREC,2016,observational,1,2,0.125,12.375,0,0,0.25,0.25,12.25,12.5,12.5,12.25
2,2,0.25,2,128,HREC,2016,observational,2,2,0.375,12.375,0.25,0.25,0.5,0.5,12.25,12.5,12.5,12.25
2,2,0.25,3,129,HREC,2016,observational,1,1,0.625,12.125,0.5,0.5,0.75,0.75,12,12.25,12.25,12
2,2,0.25,4,130,HREC,2016,observational,1,2,0.625,12.375,0.5,0.5,0.75,0.75,12.25,12.5,12.5,12.25
2,2,0.25,5,131,HREC,2016,observational,1,1,1.625,12.125,1.5,1.5,1.75,1.75,12,12.25,12.25,12
2,2,0.25,6,132,HREC,2016,observational,1,2,1.625,12.375,1.5,1.5,1.75,1.75,12.25,12.5,12.5,12.25
2,2,0.25,7,133,HREC,2016,observational,2,1,1.875,12.625,1.75,1.75,2,2,12.5,12.75,12.75,12.5
2,2,0.25,8,134,HREC,2016,observational,2,2,1.875,12.875,1.75,1.75,2,2,12.75,13,13,12.75
2,2,0.5,1,135,HREC,2016,observational,1,1,0.25,12.25,0,0,0.5,0.5,12,12.5,12.5,12
2,2,0.5,2,136,HREC,2016,observational,2,1,0.75,12.25,0.5,0.5,1,1,12,12.5,12.5,12
2,2,0.5,3,137,HREC,2016,observational,2,1,1.75,12.25,1.5,1.5,2,2,12,12.5,12.5,12
2,2,0.5,4,138,HREC,2016,observational,2,2,1.75,12.75,1.5,1.5,2,2,12.5,13,13,12.5
2,2,1,1,139,HREC,2016,observational,1,2,0.5,12.5,0,0,1,1,12,13,13,12
2,2,1,2,140,HREC,2016,observational,2,2,1.5,12.5,1,1,2,2,12,13,13,12
2,3,0.25,1,141,HREC,2016,observational,1,1,2.625,13.125,2.5,2.5,2.75,2.75,13,13.25,13.25,13
2,3,0.25,2,142,HREC,2016,observational,1,2,2.625,13.375,2.5,2.5,2.75,2.75,13.25,13.5,13.5,13.25
2,3,0.25,3,143,HREC,2016,observational,1,1,2.625,13.625,2.5,2.5,2.75,2.75,13.5,13.75,13.75,13.5
2,3,0.25,4,144,HREC,2016,observational,1,2,2.625,13.875,2.5,2.5,2.75,2.75,13.75,14,14,13.75
2,3,0.25,5,145,HREC,2016,observational,2,1,3.375,13.125,3.25,3.25,3.5,3.5,13,13.25,13.25,13
2,3,0.25,6,146,HREC,2016,observational,1,2,3.125,13.375,3,3,3.25,3.25,13.25,13.5,13.5,13.25
2,3,0.25,7,147,HREC,2016,observational,2,1,3.375,13.625,3.25,3.25,3.5,3.5,13.5,13.75,13.75,13.5
2,3,0.25,8,148,HREC,2016,observational,2,2,3.375,13.875,3.25,3.25,3.5,3.5,13.75,14,14,13.75
2,3,0.5,1,149,HREC,2016,observational,2,1,2.75,13.25,2.5,2.5,3,3,13,13.5,13.5,13
2,3,0.5,2,150,HREC,2016,observational,2,2,2.75,13.75,2.5,2.5,3,3,13.5,14,14,13.5
2,3,0.5,3,151,HREC,2016,observational,1,1,3.25,13.25,3,3,3.5,3.5,13,13.5,13.5,13
2,3,0.5,4,152,HREC,2016,observational,1,2,3.25,13.75,3,3,3.5,3.5,13.5,14,14,13.5
2,3,1,1,153,HREC,2016,observational,1,1,2.5,13.5,2,2,3,3,13,14,14,13
2,3,1,2,154,HREC,2016,observational,2,1,3.5,13.5,3,3,4,4,13,14,14,13
2,4,0.25,1,155,HREC,2016,observational,1,1,0.125,16.125,0,0,0.25,0.25,16,16.25,16.25,16
2,4,0.25,2,156,HREC,2016,observational,1,2,0.125,16.375,0,0,0.25,0.25,16.25,16.5,16.5,16.25
2,4,0.25,3,157,HREC,2016,observational,1,2,0.625,16.875,0.5,0.5,0.75,0.75,16.75,17,17,16.75
2,4,0.25,4,158,HREC,2016,observational,2,1,0.875,16.625,0.75,0.75,1,1,16.5,16.75,16.75,16.5
2,4,0.25,5,159,HREC,2016,observational,1,1,1.125,16.125,1,1,1.25,1.25,16,16.25,16.25,16
2,4,0.25,6,160,HREC,2016,observational,1,2,1.125,16.375,1,1,1.25,1.25,16.25,16.5,16.5,16.25
2,4,0.25,7,161,HREC,2016,observational,1,2,1.625,16.875,1.5,1.5,1.75,1.75,16.75,17,17,16.75
2,4,0.25,8,162,HREC,2016,observational,2,2,1.875,16.875,1.75,1.75,2,2,16.75,17,17,16.75
2,4,0.5,1,163,HREC,2016,observational,1,1,0.25,16.25,0,0,0.5,0.5,16,16.5,16.5,16
2,4,0.5,2,164,HREC,2016,observational,2,2,0.75,16.75,0.5,0.5,1,1,16.5,17,17,16.5
2,4,0.5,3,165,HREC,2016,observational,1,1,1.25,16.25,1,1,1.5,1.5,16,16.5,16.5,16
2,4,0.5,4,166,HREC,2016,observational,2,2,1.75,16.75,1.5,1.5,2,2,16.5,17,17,16.5
2,4,1,1,167,HREC,2016,observational,1,2,0.5,16.5,0,0,1,1,16,17,17,16
2,4,1,2,168,HREC,2016,observational,2,2,1.5,16.5,1,1,2,2,16,17,17,16
2,5,0.25,1,169,HREC,2016,observational,1,1,6.125,10.625,6,6,6.25,6.25,10.5,10.75,10.75,10.5
2,5,0.25,2,170,HREC,2016,observational,1,2,6.125,10.875,6,6,6.25,6.25,10.75,11,11,10.75
2,5,0.25,3,171,HREC,2016,observational,2,1,6.875,10.625,6.75,6.75,7,7,10.5,10.75,10.75,10.5
2,5,0.25,4,172,HREC,2016,observational,2,2,6.875,10.875,6.75,6.75,7,7,10.75,11,11,10.75
2,5,0.25,5,173,HREC,2016,observational,1,1,7.125,10.625,7,7,7.25,7.25,10.5,10.75,10.75,10.5
2,5,0.25,6,174,HREC,2016,observational,1,2,7.125,10.875,7,7,7.25,7.25,10.75,11,11,10.75
2,5,0.25,7,175,HREC,2016,observational,1,2,7.625,10.375,7.5,7.5,7.75,7.75,10.25,10.5,10.5,10.25
2,5,0.25,8,176,HREC,2016,observational,2,2,7.875,10.375,7.75,7.75,8,8,10.25,10.5,10.5,10.25
2,5,0.5,1,177,HREC,2016,observational,1,2,6.25,10.75,6,6,6.5,6.5,10.5,11,11,10.5
2,5,0.5,2,178,HREC,2016,observational,2,2,6.75,10.75,6.5,6.5,7,7,10.5,11,11,10.5
2,5,0.5,3,179,HREC,2016,observational,1,2,7.25,10.75,7,7,7.5,7.5,10.5,11,11,10.5
2,5,0.5,4,180,HREC,2016,observational,2,1,7.75,10.25,7.5,7.5,8,8,10,10.5,10.5,10
2,5,1,1,181,HREC,2016,observational,1,2,6.5,10.5,6,6,7,7,10,11,11,10
2,5,1,2,182,HREC,2016,observational,2,2,7.5,10.5,7,7,8,8,10,11,11,10
2,6,0.25,1,183,HREC,2016,observational,1,1,4.125,12.625,4,4,4.25,4.25,12.5,12.75,12.75,12.5
2,6,0.25,2,184,HREC,2016,observational,2,1,4.375,12.625,4.25,4.25,4.5,4.5,12.5,12.75,12.75,12.5
2,6,0.25,3,185,HREC,2016,observational,2,1,4.875,12.625,4.75,4.75,5,5,12.5,12.75,12.75,12.5
2,6,0.25,4,186,HREC,2016,observational,2,2,4.875,12.875,4.75,4.75,5,5,12.75,13,13,12.75
2,6,0.25,5,187,HREC,2016,observational,1,1,5.625,12.125,5.5,5.5,5.75,5.75,12,12.25,12.25,12
2,6,0.25,6,188,HREC,2016,observational,1,2,5.625,12.375,5.5,5.5,5.75,5.75,12.25,12.5,12.5,12.25
2,6,0.25,7,189,HREC,2016,observational,1,1,5.625,12.625,5.5,5.5,5.75,5.75,12.5,12.75,12.75,12.5
2,6,0.25,8,190,HREC,2016,observational,1,2,5.625,12.875,5.5,5.5,5.75,5.75,12.75,13,13,12.75
2,6,0.5,1,191,HREC,2016,observational,1,2,4.25,12.75,4,4,4.5,4.5,12.5,13,13,12.5
2,6,0.5,2,192,HREC,2016,observational,2,2,4.75,12.75,4.5,4.5,5,5,12.5,13,13,12.5
2,6,0.5,3,193,HREC,2016,observational,2,1,5.75,12.25,5.5,5.5,6,6,12,12.5,12.5,12
2,6,0.5,4,194,HREC,2016,observational,2,2,5.75,12.75,5.5,5.5,6,6,12.5,13,13,12.5
2,6,1,1,195,HREC,2016,observational,1,2,4.5,12.5,4,4,5,5,12,13,13,12
2,6,1,2,196,HREC,2016,observational,2,2,5.5,12.5,5,5,6,6,12,13,13,12
2,7,0.25,1,197,HREC,2016,observational,1,1,4.125,14.125,4,4,4.25,4.25,14,14.25,14.25,14
2,7,0.25,2,198,HREC,2016,observational,2,1,4.375,14.375,4.25,4.25,4.5,4.5,14.25,14.5,14.5,14.25
2,7,0.25,3,199,HREC,2016,observational,1,2,4.125,14.625,4,4,4.25,4.25,14.5,14.75,14.75,14.5
2,7,0.25,4,200,HREC,2016,observational,2,2,4.125,14.875,4,4,4.25,4.25,14.75,15,15,14.75
2,7,0.25,5,201,HREC,2016,observational,1,1,5.625,13.125,5.5,5.5,5.75,5.75,13,13.25,13.25,13
2,7,0.25,6,202,HREC,2016,observational,2,2,5.875,13.125,5.75,5.75,6,6,13,13.25,13.25,13
2,7,0.25,7,203,HREC,2016,observational,1,1,5.625,13.875,5.5,5.5,5.75,5.75,13.75,14,14,13.75
2,7,0.25,8,204,HREC,2016,observational,1,2,5.875,13.875,5.75,5.75,6,6,13.75,14,14,13.75
2,7,0.5,1,205,HREC,2016,observational,2,1,4.25,14.25,4,4,4.5,4.5,14,14.5,14.5,14
2,7,0.5,2,206,HREC,2016,observational,2,2,4.25,14.75,4,4,4.5,4.5,14.5,15,15,14.5
2,7,0.5,3,207,HREC,2016,observational,1,1,5.75,13.25,5.5,5.5,6,6,13,13.5,13.5,13
2,7,0.5,4,208,HREC,2016,observational,1,2,5.75,13.75,5.5,5.5,6,6,13.5,14,14,13.5
2,7,1,1,209,HREC,2016,observational,2,1,4.5,14.5,4,4,5,5,14,15,15,14
2,7,1,2,210,HREC,2016,observational,1,2,5.5,13.5,5,5,6,6,13,14,14,13
2,8,0.25,1,211,HREC,2016,observational,1,2,6.125,16.375,6,6,6.25,6.25,16.25,16.5,16.5,16.25
2,8,0.25,2,212,HREC,2016,observational,2,2,6.375,16.375,6.25,6.25,6.5,6.5,16.25,16.5,16.5,16.25
2,8,0.25,3,213,HREC,2016,observational,1,1,6.625,16.125,6.5,6.5,6.75,6.75,16,16.25,16.25,16
2,8,0.25,4,214,HREC,2016,observational,2,2,6.875,16.375,6.75,6.75,7,7,16.25,16.5,16.5,16.25
2,8,0.25,5,215,HREC,2016,observational,1,2,7.125,16.875,7,7,7.25,7.25,16.75,17,17,16.75
2,8,0.25,6,216,HREC,2016,observational,2,1,7.375,16.625,7.25,7.25,7.5,7.5,16.5,16.75,16.75,16.5
2,8,0.25,7,217,HREC,2016,observational,1,2,7.625,16.375,7.5,7.5,7.75,7.75,16.25,16.5,16.5,16.25
2,8,0.25,8,218,HREC,2016,observational,2,1,7.875,16.125,7.75,7.75,8,8,16,16.25,16.25,16
2,8,0.5,1,219,HREC,2016,observational,1,1,6.25,16.25,6,6,6.5,6.5,16,16.5,16.5,16
2,8,0.5,2,220,HREC,2016,observational,2,1,6.75,16.25,6.5,6.5,7,7,16,16.5,16.5,16
2,8,0.5,3,221,HREC,2016,observational,1,2,7.25,16.75,7,7,7.5,7.5,16.5,17,17,16.5
2,8,0.5,4,222,HREC,2016,observational,2,1,7.75,16.25,7.5,7.5,8,8,16,16.5,16.5,16
2,8,1,1,223,HREC,2016,observational,1,2,6.5,16.5,6,6,7,7,16,17,17,16
2,8,1,2,224,HREC,2016,observational,2,2,7.5,16.5,7,7,8,8,16,17,17,16
3,1,0.25,1,225,HREC,2016,observational,1,1,12.125,0.125,12,12,12.25,12.25,0,0.25,0.25,0
3,1,0.25,2,226,HREC,2016,observational,2,2,12.375,0.375,12.25,12.25,12.5,12.5,0.25,0.5,0.5,0.25
3,1,0.25,3,227,HREC,2016,observational,1,2,12.625,0.375,12.5,12.5,12.75,12.75,0.25,0.5,0.5,0.25
3,1,0.25,4,228,HREC,2016,observational,2,1,12.875,0.125,12.75,12.75,13,13,0,0.25,0.25,0
3,1,0.25,5,229,HREC,2016,observational,2,1,12.375,1.125,12.25,12.25,12.5,12.5,1,1.25,1.25,1
3,1,0.25,6,230,HREC,2016,observational,2,2,12.375,1.375,12.25,12.25,12.5,12.5,1.25,1.5,1.5,1.25
3,1,0.25,7,231,HREC,2016,observational,1,2,12.625,1.375,12.5,12.5,12.75,12.75,1.25,1.5,1.5,1.25
3,1,0.25,8,232,HREC,2016,observational,2,1,12.875,1.125,12.75,12.75,13,13,1,1.25,1.25,1
3,1,0.5,1,233,HREC,2016,observational,1,1,12.25,0.25,12,12,12.5,12.5,0,0.5,0.5,0
