Label,Species,Group ,Live,Provenance,Note
Sedge,Unknown.sedge,Grass,1,,
shearv,Sherardia.arvensis,Forb,1,,
Sherardia,Sherardia.arvensis,Forb,1,,
shieldseed,Thysanocarpus.curvipes,Forb,1,,
Sidalcea,Sidalcea.diploscypha,Forb,1,,
SilGal,Silene.gallica,Forb,1,,
SisBel,Sisyrinchium.bellum,Forb,1,,
SpikyHyp,Tolpis.barbata,Forb,1,,
SpkiyHypochaeris,Tolpis.barbata,Forb,1,,Same as notago?
step,Animal.hoofprint,Other,0,,
TaeCap,Taeniatherum.caput-medusae,Grass,1,,
thycur,Thysanocarpus.curvipes,Forb,1,,
Torilis,Torilis.sp.,Forb,1,,
TriAlbo,Trifolium.albopurpurea,Legume,1,,
tribif,Trifolium.bifidum,Legume,1,,
TriBlue,Tritileia.laxa,Forb,1,,
tricil,Trifolium.ciliolatum,Legume,1,,
TriCupcake,Trifolium.microdon,Legume,1,,
TriDub,Trifolium.dubium,Legume,1,,
tridub.1,Trifolium.dubium,Legume,1,,
TriEri,Triphyseria.eriantha,Forb,1,,
trieri.1,Triphyseria.eriantha,Forb,1,,
trifc,Trifolium.depauperatum,Legume,1,,
Trifolium,Trifolium.subterraneum,Legume,1,,
Trifolium.(Unsure),Trifolium.subterraneum,Legume,1,,
trifolium..unsure.,,,,,
TriFuc,Trifolium.depauperatum,Legume,1,,
trifuc.1,Trifolium.depauperatum,Legume,1,,
trifucatum,Trifolium.depauperatum,Legume,1,,
trigra,Trifolium.gracilentum,Legume,1,,
TriGra,Trifolium.gracilentum,Legume,1,,
TriHir,Trifolium.hirtum,Legume,1,,
trihya,Tritileia.hyacinthina,Forb,1,,
TriHya,Tritileia.hyacinthina,Forb,1,,
trilax,Tritileia.laxa,Forb,1,,
TriLobe,Cardamine.oligosperma,Forb,1,,
TriLobed,Cardamine.oligosperma,Forb,1,,
Tri-lobed.plant,Cardamine.oligosperma,Forb,1,,
trimicroceph,Trifolium.microcephalum,Legume,1,,
trimicrodon,Trifolium.microdon,Legume,1,,
TriPlate,Trifolium.microcephalum,Legume,1,,
triref,Trifolium.gracilentum,Legume,1,,
TriRefHairy,Trifolium.gracilentum,Legume,1,,
TriRefLarge,Trifolium.gracilentum,Legume,1,,
TriReflexed,Trifolium.gracilentum,Legume,1,,
TriRefNoBract,Trifolium.gracilentum,Legume,1,,
TriRefSmall,Trifolium.bifidum,Legume,1,,
triwhite,Trifolium.subterraneum,Legume,1,,
TriWhite,Trifolium.subterraneum,Legume,1,,
triwil,Trifolium.wildenovii,Legume,1,,
TriWil,Trifolium.wildenovii,Legume,1,,
triwil.,Trifolium.wildenovii,Legume,1,,
triwildenovii,Trifolium.wildenovii,Legume,1,,
triwra,,,1,,
Unk.Pin.4.plit.petals,Zeltnera.trichantha,Forb,1,,
Unk.VicSat?,Vicia.sativa,Legume,1,,
unk.grass,,,,,
unk.pin.4.plit.petals,,,,,
unk.vicsat.,,,,,
UnkAster,Unknown.aster,Forb,1,,
UnkFlower,,,1,,
unkforb,,,,,
UnkForb(photo).Vic?,Unknown.forb,Forb,1,,
unkforb.photo..vic.,,,,,
UnkGrass,Unknown.grass,Grass,1,,
UnkGrass,Unknown.grass,Grass,1,,
UnkLargeAp.,,,1,,
UnkPink,,,1,,
unktar,,,,,
UnkVetch,,,1,,
UnkWhorl,,,1,,
Vicia.(Sativa?),Vicia.sativa,Legume,1,,
vicia..sativa..,Vicia.sativa,Legume,1,,
VicSat,Vicia.sativa,Legume,1,,
vicsat.1,Vicia.sativa,Legume,1,,
VicVel,Vicia.villosa,Legume,1,,
vicvil,Vicia.villosa,Legume,1,,
vpub,Navarretia.pubescens,Forb,1,,
VulMicro,Vulpia.microstachys,Grass,1,,
VulMyu,Vulpia.myuros,Grass,1,,
white.pink.brush,,,,,
