"","site","block","year","fert","stat","samp","div","q"
"422","MCLA","3","2018",0,"mean","10",17.703125,0
"423","MCLA","4","2018",1,"mean","10",16.5,0
"424","MCLA","4","2018",0,"mean","10",15.53125,0
"425","SFREC","1","2017",1,"mean","10",25.625,0
"426","SFREC","1","2017",0,"mean","10",25.640625,0
"427","SFREC","2","2017",1,"mean","10",27.40625,0
"428","SFREC","2","2017",0,"mean","10",27.515625,0
"429","SFREC","3","2017",1,"mean","10",21.171875,0
"430","SFREC","3","2017",0,"mean","10",22.078125,0
"431","SFREC","4","2017",1,"mean","10",18.234375,0
"432","SFREC","4","2017",0,"mean","10",20.203125,0
"433","SFREC","1","2018",1,"mean","10",20.59375,0
"434","SFREC","1","2018",0,"mean","10",25.703125,0
"435","SFREC","2","2018",1,"mean","10",25.96875,0
"436","SFREC","2","2018",0,"mean","10",25.46875,0
"437","SFREC","3","2018",1,"mean","10",19.03125,0
"438","SFREC","3","2018",0,"mean","10",20.046875,0
"439","SFREC","4","2018",1,"mean","10",19.921875,0
"440","SFREC","4","2018",0,"mean","10",21.15625,0
"441","HREC","2","2017",1,"mean","11",21.9375,0
"442","HREC","2","2017",0,"mean","11",20.40625,0
"443","HREC","3","2017",1,"mean","11",24.703125,0
"444","HREC","3","2017",0,"mean","11",26.703125,0
"445","HREC","4","2017",1,"mean","11",28.890625,0
"446","HREC","4","2017",0,"mean","11",28.828125,0
"447","HREC","2","2018",1,"mean","11",25.109375,0
"448","HREC","2","2018",0,"mean","11",22.9375,0
"449","HREC","3","2018",1,"mean","11",24.859375,0
"450","HREC","3","2018",0,"mean","11",28.578125,0
"451","HREC","4","2018",1,"mean","11",21.4375,0
"452","HREC","4","2018",0,"mean","11",28.34375,0
"453","MCLA","1","2017",1,"mean","11",21.09375,0
"454","MCLA","1","2017",0,"mean","11",23.21875,0
"455","MCLA","2","2017",1,"mean","11",21.921875,0
"456","MCLA","2","2017",0,"mean","11",17.6875,0
"457","MCLA","3","2017",1,"mean","11",17.65625,0
"458","MCLA","3","2017",0,"mean","11",20.140625,0
"459","MCLA","4","2017",1,"mean","11",15.125,0
"460","MCLA","4","2017",0,"mean","11",15.328125,0
"461","MCLA","1","2018",1,"mean","11",20.515625,0
"462","MCLA","1","2018",0,"mean","11",18.453125,0
"463","MCLA","2","2018",1,"mean","11",15.609375,0
"464","MCLA","2","2018",0,"mean","11",16.875,0
"465","MCLA","3","2018",1,"mean","11",14.046875,0
"466","MCLA","3","2018",0,"mean","11",18.171875,0
"467","MCLA","4","2018",1,"mean","11",17.125,0
"468","MCLA","4","2018",0,"mean","11",15.78125,0
"469","SFREC","1","2017",1,"mean","11",26.1875,0
"470","SFREC","1","2017",0,"mean","11",26.28125,0
"471","SFREC","2","2017",1,"mean","11",27.640625,0
"472","SFREC","2","2017",0,"mean","11",28.1875,0
"473","SFREC","3","2017",1,"mean","11",21.5,0
"474","SFREC","3","2017",0,"mean","11",22.40625,0
"475","SFREC","4","2017",1,"mean","11",18.578125,0
"476","SFREC","4","2017",0,"mean","11",20.65625,0
"477","SFREC","1","2018",1,"mean","11",20.96875,0
"478","SFREC","1","2018",0,"mean","11",26.140625,0
"479","SFREC","2","2018",1,"mean","11",26.390625,0
"480","SFREC","2","2018",0,"mean","11",25.875,0
"481","SFREC","3","2018",1,"mean","11",19.46875,0
"482","SFREC","3","2018",0,"mean","11",20.265625,0
"483","SFREC","4","2018",1,"mean","11",20.1875,0
"484","SFREC","4","2018",0,"mean","11",21.671875,0
"485","HREC","2","2017",1,"mean","12",22.28125,0
"486","HREC","2","2017",0,"mean","12",20.640625,0
"487","HREC","3","2017",1,"mean","12",25.296875,0
"488","HREC","3","2017",0,"mean","12",27.390625,0
"489","HREC","4","2017",1,"mean","12",29.34375,0
"490","HREC","4","2017",0,"mean","12",29.328125,0
"491","HREC","2","2018",1,"mean","12",25.671875,0
"492","HREC","2","2018",0,"mean","12",23.453125,0
"493","HREC","3","2018",1,"mean","12",25.484375,0
"494","HREC","3","2018",0,"mean","12",29.046875,0
"495","HREC","4","2018",1,"mean","12",21.90625,0
"496","HREC","4","2018",0,"mean","12",28.8125,0
"497","MCLA","1","2017",1,"mean","12",21.5,0
"498","MCLA","1","2017",0,"mean","12",23.640625,0
"499","MCLA","2","2017",1,"mean","12",22.40625,0
"500","MCLA","2","2017",0,"mean","12",18.171875,0
"501","MCLA","3","2017",1,"mean","12",18.015625,0
"502","MCLA","3","2017",0,"mean","12",20.640625,0
"503","MCLA","4","2017",1,"mean","12",15.5,0
"504","MCLA","4","2017",0,"mean","12",15.546875,0
"505","MCLA","1","2018",1,"mean","12",20.984375,0
