row,site,plot,subplotno,subplotres,mid_x,mid_y,bl_x,ul_x,ur_x,br_x,bl_y,ul_y,ur_y,br_y
165,2,3,3,0.5,3.25,13.25,3,3,3.5,3.5,13,13.5,13.5,13
166,2,3,5,0.25,3.375,13.125,3.25,3.25,3.5,3.5,13,13.25,13.25,13
167,2,3,6,0.25,3.125,13.375,3,3,3.25,3.25,13.25,13.5,13.5,13.25
168,2,3,4,0.5,3.25,13.75,3,3,3.5,3.5,13.5,14,14,13.5
169,2,3,7,0.25,3.375,13.625,3.25,3.25,3.5,3.5,13.5,13.75,13.75,13.5
170,2,3,8,0.25,3.375,13.875,3.25,3.25,3.5,3.5,13.75,14,14,13.75
171,2,4,1,2,1,16,0,0,2,2,15,17,17,15
172,2,4,1,1,0.5,16.5,0,0,1,1,16,17,17,16
173,2,4,1,0.5,0.25,16.25,0,0,0.5,0.5,16,16.5,16.5,16
174,2,4,1,0.25,0.125,16.125,0,0,0.25,0.25,16,16.25,16.25,16
175,2,4,2,0.25,0.125,16.375,0,0,0.25,0.25,16.25,16.5,16.5,16.25
176,2,4,2,0.5,0.75,16.75,0.5,0.5,1,1,16.5,17,17,16.5
177,2,4,3,0.25,0.625,16.875,0.5,0.5,0.75,0.75,16.75,17,17,16.75
178,2,4,4,0.25,0.875,16.625,0.75,0.75,1,1,16.5,16.75,16.75,16.5
179,2,4,2,1,1.5,16.5,1,1,2,2,16,17,17,16
180,2,4,3,0.5,1.25,16.25,1,1,1.5,1.5,16,16.5,16.5,16
181,2,4,5,0.25,1.125,16.125,1,1,1.25,1.25,16,16.25,16.25,16
182,2,4,6,0.25,1.125,16.375,1,1,1.25,1.25,16.25,16.5,16.5,16.25
183,2,4,4,0.5,1.75,16.75,1.5,1.5,2,2,16.5,17,17,16.5
184,2,4,7,0.25,1.625,16.875,1.5,1.5,1.75,1.75,16.75,17,17,16.75
185,2,4,8,0.25,1.875,16.875,1.75,1.75,2,2,16.75,17,17,16.75
186,2,4,1,4,2,15,0,0,4,4,13,17,17,13
187,2,5,1,2,7,10,6,6,8,8,9,11,11,9
188,2,5,1,1,6.5,10.5,6,6,7,7,10,11,11,10
189,2,5,1,0.5,6.25,10.75,6,6,6.5,6.5,10.5,11,11,10.5
190,2,5,1,0.25,6.125,10.625,6,6,6.25,6.25,10.5,10.75,10.75,10.5
191,2,5,2,0.25,6.125,10.875,6,6,6.25,6.25,10.75,11,11,10.75
192,2,5,2,0.5,6.75,10.75,6.5,6.5,7,7,10.5,11,11,10.5
193,2,5,3,0.25,6.875,10.625,6.75,6.75,7,7,10.5,10.75,10.75,10.5
194,2,5,4,0.25,6.875,10.875,6.75,6.75,7,7,10.75,11,11,10.75
195,2,5,2,1,7.5,10.5,7,7,8,8,10,11,11,10
196,2,5,3,0.5,7.25,10.75,7,7,7.5,7.5,10.5,11,11,10.5
197,2,5,5,0.25,7.125,10.625,7,7,7.25,7.25,10.5,10.75,10.75,10.5
198,2,5,6,0.25,7.125,10.875,7,7,7.25,7.25,10.75,11,11,10.75
199,2,5,4,0.5,7.75,10.25,7.5,7.5,8,8,10,10.5,10.5,10
200,2,5,7,0.25,7.625,10.375,7.5,7.5,7.75,7.75,10.25,10.5,10.5,10.25
201,2,5,8,0.25,7.875,10.375,7.75,7.75,8,8,10.25,10.5,10.5,10.25
202,2,6,1,2,5,12,4,4,6,6,11,13,13,11
203,2,6,1,1,4.5,12.5,4,4,5,5,12,13,13,12
204,2,6,1,0.5,4.25,12.75,4,4,4.5,4.5,12.5,13,13,12.5
205,2,6,1,0.25,4.125,12.625,4,4,4.25,4.25,12.5,12.75,12.75,12.5
206,2,6,2,0.25,4.375,12.625,4.25,4.25,4.5,4.5,12.5,12.75,12.75,12.5
207,2,6,2,0.5,4.75,12.75,4.5,4.5,5,5,12.5,13,13,12.5
208,2,6,3,0.25,4.875,12.625,4.75,4.75,5,5,12.5,12.75,12.75,12.5
209,2,6,4,0.25,4.875,12.875,4.75,4.75,5,5,12.75,13,13,12.75
210,2,6,2,1,5.5,12.5,5,5,6,6,12,13,13,12
211,2,6,3,0.5,5.75,12.25,5.5,5.5,6,6,12,12.5,12.5,12
212,2,6,5,0.25,5.625,12.125,5.5,5.5,5.75,5.75,12,12.25,12.25,12
213,2,6,6,0.25,5.625,12.375,5.5,5.5,5.75,5.75,12.25,12.5,12.5,12.25
214,2,6,4,0.5,5.75,12.75,5.5,5.5,6,6,12.5,13,13,12.5
215,2,6,7,0.25,5.625,12.625,5.5,5.5,5.75,5.75,12.5,12.75,12.75,12.5
216,2,6,8,0.25,5.625,12.875,5.5,5.5,5.75,5.75,12.75,13,13,12.75
217,2,6,1,4,6,11,4,4,8,8,9,13,13,9
218,2,7,1,2,5,14,4,4,6,6,13,15,15,13
219,2,7,1,1,4.5,14.5,4,4,5,5,14,15,15,14
220,2,7,1,0.5,4.25,14.25,4,4,4.5,4.5,14,14.5,14.5,14
221,2,7,1,0.25,4.125,14.125,4,4,4.25,4.25,14,14.25,14.25,14
222,2,7,2,0.25,4.375,14.375,4.25,4.25,4.5,4.5,14.25,14.5,14.5,14.25
223,2,7,2,0.5,4.25,14.75,4,4,4.5,4.5,14.5,15,15,14.5
224,2,7,3,0.25,4.125,14.625,4,4,4.25,4.25,14.5,14.75,14.75,14.5
225,2,7,4,0.25,4.125,14.875,4,4,4.25,4.25,14.75,15,15,14.75
226,2,7,2,1,5.5,13.5,5,5,6,6,13,14,14,13
