SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,AveFat,AirCar,TriDub,TriHir,VulMyu,TriWhite,GalPar,Bare,DicCap,MadGra,HypGla,VicVel,BroDia,EroBot,TaeCap,TriCil,LatSph,ClaPur,TriWra,,,,
MCLA,1,2,15,7,8,2,2,3,,,3,3,,,,2,1,2,3,50,,,,,,,,,
MCLA,1,2,16,8,8,2,2,3,,,3,2,,1,,,,,2,60,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,BroHor,VulMyu,GerDis,EroBot,MicCal,MadGra,Bare,ClaPur,AnaArv,CroSet,TriDub,TaeCap,TriHir,TriCil,HypGla,DicCap,GalPar,AirCar,BriMin,TriMicroceph,,,
MCLA,2,1,1,1,1,3,4,3,2,2,1,1,30,1,,,,3,,,,,,,,,,,
MCLA,2,1,2,2,1,4,4,2,2,,,1,8,,1,1,1,3,,,,,,,,,,,
MCLA,2,1,3,3,1,4,3,3,2,,,1,3,1,,1,2,3,2,1,2,1,1,,,,,,
MCLA,2,1,4,4,1,3,2,4,3,,,2,15,,,1,,3,,,2,1,1,,,,,,
MCLA,2,1,5,5,1,3,2,4,3,,,2,25,1,,1,,4,,,,,,1,,,,,
MCLA,2,1,6,6,1,3,3,4,1,,,1,3,2,,,,3,,,,,1,,1,,,,
MCLA,2,1,7,7,1,4,3,3,3,,,2,4,,,,,3,,,2,1,,,,,,,
MCLA,2,1,8,8,1,5,3,2,3,,,,,1,,,,3,,,1,1,,,,,,,
MCLA,2,1,9,1,2,4,3,4,2,,,,5,,,,,3,,,,,1,,,,,,
MCLA,2,1,10,2,2,4,4,3,2,,,1,8,,,,,4,,,,1,,,,,,,
MCLA,2,1,11,3,2,3,3,4,2,,,2,,,,1,3,3,,,2,,1,,,,,,
MCLA,2,1,12,4,2,4,3,3,2,,,1,8,,,,,5,,,,1,,,,,,,
