SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,AveFat,AirCar,TriDub,TriHir,VulMyu,TriWhite,GalPar,Bare,DicCap,MadGra,HypGla,VicVel,BroDia,EroBot,TaeCap,TriCil,LatSph,ClaPur,TriWra,,,,
MCLA,4,2,6,6,5,,3,3,5,2,,,1,,1,,,,,1,,,,,,,,,
MCLA,4,2,7,7,5,,3,4,3,3,2,2,,,,,,,,1,,,,,,,,,
MCLA,4,2,8,8,5,1,3,5,4,1,,1,1,,,,,,,2,,,,,,,,,
MCLA,4,2,9,1,6,2,6,2,2,2,,1,,2,,,,,,1,,,,,,,,,
MCLA,4,2,10,2,6,,5,4,2,2,1,1,,3,,,,2,,1,,,,,,,,,
MCLA,4,2,11,3,6,,4,4,4,1,,1,,2,,,,,,,,2,,,,,,,
MCLA,4,2,12,4,6,,4,4,4,1,,,,1,1,,,,,1,,1,,,,,,,
MCLA,4,2,13,5,6,,3,4,5,2,,2,1,1,,,,,,1,,,,,,,,,
MCLA,4,2,14,6,6,,2,3,7,2,,,,,,,,,,,,,,,,,,,
MCLA,4,2,15,7,6,1,2,5,3,2,2,1,2,,,,,,,,,,,,,,,,
MCLA,4,2,16,8,6,,3,5,4,3,1,1,1,2,,,,,1,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,VulMru,TaeCap,AirCar,HypGla,GalPar,LupBic,MicCal,ClaPur,EroBot,BroDia,Bare,CroSet,Rock,,,,,,,,,
MCLA,4,2,1,1,7,,5,4,3,,,1,,,,,,,,,,,,,,,,,
MCLA,4,2,2,2,7,,5,4,2,1,1,1,1,2,1,1,2,,,,,,,,,,,,
MCLA,4,2,3,3,7,,5,4,3,2,2,1,,1,1,1,,,,,,,,,,,,,
MCLA,4,2,4,4,7,,5,4,3,1,,,,,1,,,,,,,,,,,,,,
MCLA,4,2,5,5,7,,4,4,4,2,,1,,2,1,,,,,,,,,,,,,,
MCLA,4,2,6,6,7,,3,3,5,3,,1,2,,1,,,,,,,,,,,,,,
MCLA,4,2,7,7,7,,2,4,4,3,2,2,2,,1,1,,,,,,,,,,,,,
MCLA,4,2,8,8,7,,2,1,5,4,3,2,,,2,1,,,,,,,,,,,,,
MCLA,4,2,9,1,8,,5,4,2,2,1,1,1,2,,1,,7,,,,,,,,,,,
MCLA,4,2,10,2,8,,3,5,2,2,,2,,3,,1,,20,1,,,,,,,,,,
MCLA,4,2,11,3,8,,4,5,2,1,,,,,,,,,,,,,,,,,,,
MCLA,4,2,12,4,8,,4,4,3,4,2,2,,3,1,,,,,,,,,,,,,,
MCLA,4,2,13,5,8,,4,3,2,3,2,2,3,5,1,,,16,,7,,,,,,,,,
MCLA,4,2,14,6,8,,2,2,6,4,2,1,2,2,1,1,,,,,,,,,,,,,
MCLA,4,2,15,7,8,,2,2,4,5,2,1,1,2,1,2,,,,,,,,,,,,,
MCLA,4,2,16,8,8,,2,2,4,5,2,1,1,3,2,2,,,,,,,,,,,,,
