Name: Eviner Lab Penetrometer         																						
Serial #:  2062 																						
Datum: WGS 84																						
Soil Compation In KPa																						
Longitude	Latitude	Number	0.0 cm	2.5 cm	5.0 cm	7.5 cm	10.0 cm	12.5 cm	15.0 cm	17.5 cm	20.0 cm	22.5 cm	25.0 cm	27.5 cm	30.0 cm	32.5 cm	35.0 cm	37.5 cm	40.0 cm	42.5 cm	45.0 cm	Cone Size
		N= 2 	0	69	34	69	656	828	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 3 	69	69	69	414	690	1380	1484	1484	1449	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 4 	69	138	69	69	138	242	310	380	586	862	724	690	0	0	0	0	0	0	0	1/2 Inch
		N= 5 	172	172	310	345	276	242	1656	2139	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 6 	104	724	897	759	794	448	1104	966	794	759	724	621	586	656	897	862	0	0	0	1/2 Inch
		N= 7 	552	448	724	724	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 8 	276	448	310	276	380	759	2036	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 9 	276	242	242	207	207	380	345	448	586	656	656	794	0	0	0	0	0	0	0	1/2 Inch
		N= 10 	862	794	380	172	552	448	345	448	448	552	448	483	621	724	759	794	759	724	794	1/2 Inch
		N= 11 	310	310	345	310	242	414	1276	2277	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 12 	380	483	1138	0	932	828	794	897	759	621	656	690	0	0	0	0	0	0	0	1/2 Inch
		N= 13 	207	0	172	0	0	483	448	483	794	759	794	794	862	862	862	828	862	862	1000	1/2 Inch
		N= 14 	69	69	172	172	138	483	448	448	448	552	656	586	0	448	345	345	345	0	0	1/2 Inch
		N= 15 	207	242	0	242	724	690	759	1000	862	862	897	1208	0	0	0	0	0	0	0	1/2 Inch
		N= 16 	380	483	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 17 	104	104	104	690	794	483	621	724	2139	1898	1760	1346	0	1346	1725	1794	1484	1000	1449	1/2 Inch
		N= 18 	380	345	586	483	552	552	794	897	828	862	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 19 	310	242	345	242	310	483	552	656	690	690	828	759	690	656	656	690	1622	1898	1690	1/2 Inch
		N= 20 	483	345	483	483	1104	932	724	690	586	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 21 	724	0	172	552	276	483	932	932	759	862	1346	1242	1070	1173	1449	1828	1932	2036	0	1/2 Inch
		N= 22 	138	242	3830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 23 	138	104	104	310	759	552	483	1173	1794	966	1311	932	897	828	897	1690	0	966	966	1/2 Inch
		N= 24 	448	276	242	310	345	345	690	690	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 25 	414	414	345	448	656	862	966	1070	932	1104	0	0	0	0	0	0	0	0	0	1/2 Inch
		Logger Started																				
SFREC		N= 1 	34	34	0	932	0	621	690	1208	966	966	897	897	1000	1346	1414	966	1070	932	1000	1/2 Inch
		N= 2 	34	34	690	759	621	794	586	586	1828	3622	3726	0	0	0	0	0	0	0	0	1/2 Inch
		N= 3 	310	345	621	414	794	621	966	2139	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 4 	207	207	0	69	414	414	656	794	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 5 	552	621	276	414	242	414	483	724	586	483	3278	0	0	0	0	0	0	0	0	1/2 Inch
		N= 6 	138	138	310	380	310	656	656	690	1104	690	586	828	1587	828	828	759	690	828	932	1/2 Inch
		N= 7 	276	345	242	380	414	414	552	897	1484	1000	932	724	828	897	3381	0	0	0	0	1/2 Inch
		N= 8 	1794	1346	897	0	552	759	1863	1622	1311	1104	1173	759	897	724	828	828	552	586	2380	1/2 Inch
		N= 9 	552	690	345	242	414	414	794	310	242	242	242	380	483	483	483	656	828	1898	2070	1/2 Inch
		N= 10 	276	276	310	759	552	483	621	1484	897	656	690	759	828	794	794	828	794	759	862	1/2 Inch
