SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BriMax,AegTri,BroHor,BroDia,MadGra,VicSat,LatSph,DaucPusil,GerDis,EupSpa,AveBar,GalPar,Torilis,TriCil,Sidalcea,TriMicroceph,ClaPur,Lomatium,MicCal,DicCap,CenMil,BroSter,HypGla,AirCar,CarPac,,,,,,
HREC,1,2,1,1,3,2,3,3,3,2,2,3,2,1,,2,,1,1,1,,,,,,,,,,,,,,,,
HREC,1,2,2,2,3,2,3,2,3,2,2,2,2,1,,2,1,,,1,2,1,10,,,,,,,,,,,,,
HREC,1,2,3,3,3,3,3,2,2,1,3,2,2,,,2,,,2,1,,1,,2,,,,,,,,,,,,
HREC,1,2,4,4,3,2,3,2,3,1,3,2,2,,,1,,,1,,,,15,,1,,,,,,,,,,,
HREC,1,2,5,5,3,1,4,3,2,2,3,2,2,1,,1,,,,,,,,,,,,,,,,,,,,
HREC,1,2,6,6,3,2,3,3,2,2,3,2,4,,,2,1,,,,,,,,3,1,,,,,,,,,,
HREC,1,2,7,7,3,0,4,2,3,3,2,1,3,,1,2,,,,1,,,,2,,,,,,,,,,,,
HREC,1,2,8,8,3,0,4,2,3,4,3,2,3,,,,1,,2,,,,,1,2,,1,,,,,,,,,
HREC,1,2,9,1,4,1,4,5,3,2,,2,,1,2,,,1,2,1,,2,8,,,,,,,,,,,,,
HREC,1,2,10,2,4,1,3,5,2,3,2,2,3,,2,,1,1,,1,,,,,,,,2,,,,,,,,
HREC,1,2,11,3,4,1,4,5,2,2,3,2,,,,1,,,,1,,,,,,,,2,,,,,,,,
HREC,1,2,12,4,4,1,3,2,3,2,2,2,1,,1,2,,,,1,,2,,,,,,2,,,,,,,,
HREC,1,2,13,5,4,,3,2,2,,2,2,1,1,1,1,,,,1,,2,,,,,,,1,,,,,,,
HREC,1,2,14,6,4,,4,2,2,2,2,2,2,,1,,,,1,1,,,,1,,,,2,,1,,,,,,
HREC,1,2,15,7,4,,3,3,0,2,2,1,3,1,,2,1,,1,,,1,,,,,1,,,,1,,,,,
HREC,1,2,16,8,4,,4,2,1,2,2,,3,,,,,,,2,,,,1,,,,2,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,AegTri,BriMax,BroHor,ClaPur,DaucPusil,MadGra,HypGla,Sidalcea,CenMil,GalPar,BroSter,VicSat,EupSpa,TriMicroceph,Bare,LatSph,BriMin,Shieldseed,TriCil,LotMic,MicCal,LotWra,Linanthus,BroDia,DicCap,,,,,
HREC,1,2,1,1,5,,4,5,2,2,,,,,,,2,2,,,,,,,,,,,,,,,,,,
HREC,1,2,2,2,5,2,4,5,2,2,,2,,,1,,,3,1,1,,,,,,,,,,,,,,,,
HREC,1,2,3,3,5,,3,3,2,2,3,1,2,,2,,,2,,1,30,1,,,,,,,,,,,,,,
HREC,1,2,4,4,5,,3,4,2,2,2,,,,3,2,,2,,2,20,,1,1,1,2,,,,,,,,,,
HREC,1,2,5,5,5,,2,3,2,2,2,1,,1,2,1,,2,,,10,1,,,1,1,,,,,,,,,,
HREC,1,2,6,6,5,,3,4,2,2,2,2,1,,,,,,,1,40,,,,,1,,,,,,,,,,
HREC,1,2,7,7,5,1,2,3,2,3,3,,2,,2,,,,,2,,,,,1,1,2,,,,,,,,,
HREC,1,2,8,8,5,2,3,2,2,3,2,2,3,,,1,,,,2,7,2,,,2,2,1,2,1,,,,,,,
HREC,1,2,9,1,6,2,4,5,2,2,2,2,,,2,,,2,1,1,,2,,,,,,,,,,,,,,
HREC,1,2,10,2,6,,3,5,2,2,,2,2,,2,1,,3,,,,,,,,,,,,2,,,,,,
HREC,1,2,11,3,6,1,3,5,1,1,,,,2,,,,,,,,2,,,,,,,,,2,,,,,
HREC,1,2,12,4,6,,3,4,3,2,3,2,1,,2,,,,,2,,2,,,,1,,,1,,2,,,,,
HREC,1,2,13,5,6,,3,1,3,3,2,2,2,2,2,,,,,1,,1,,,,,1,,1,,,,,,,
HREC,1,2,14,6,6,,2,4,3,2,2,,2,,3,1,,,,1,,2,,,1,1,2,,,,,,,,,
HREC,1,2,15,7,6,,3,5,3,2,2,1,2,1,,,,,,,,2,,,,,,2,,,,,,,,
HREC,1,2,16,8,6,2,3,4,2,3,2,1,2,,,1,,,,2,50,2,,,,,,1,,,,,,,,
