SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,TriCil,EroCic,DicCap,LatSph,GerMol,CarPac,LotMic,,,,
HREC,1,2,12,4,4,1,,4,,2,,2,,,,,1,2,,,1,,,
HREC,1,2,13,5,4,1,,3,,2,,,,,,,1,1,,,,,1,
HREC,1,2,14,6,4,1,,2,,2,,,,1,,5,,,,,1,,,1
HREC,1,2,15,7,4,2,1,2,,2,,,,1,,,2,,,,,,,
HREC,1,2,16,8,4,,,2,1,2,,,,1,,,,2,1,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,DicCap,RanCal,SanBip,Tri (Cil?),EroCic,GerMol,,,,,
HREC,1,1,1,1,1,2,,,3,,,,,,,,,,,,,,,
HREC,1,1,2,2,1,2,,2,,1,1,2,2,,,,,,,,,,,
HREC,1,1,3,3,1,2,2,3,,,1,1,,,,,,,,,,,,
HREC,1,1,4,4,1,1,,2,15,1,,,,,,,,,,,,,,
HREC,1,1,5,5,1,2,1,2,,,,2,1,1,2,2,1,,,,,,,
HREC,1,1,6,6,1,2,,2,,1,1,,,,1,1,,,,,,,,
HREC,1,1,7,7,1,2,1,3,5,,1,1,,,,,,,,,,,,
HREC,1,1,8,8,1,2,,3,3,,1,1,,,,,,,,,,,,
HREC,1,1,9,1,2,2,2,3,,,,1,1,,,,2,1,,,,,,
HREC,1,1,10,2,2,2,2,3,,,1,1,3,,,,2,1,,,,,,
HREC,1,1,11,3,2,2,3,3,,1,,1,2,,,,,1,,,,,,
HREC,1,1,12,4,2,2,2,3,,,1,2,2,,,,1,,,,,,,
HREC,1,1,13,5,2,2,3,4,5,,1,,2,,,,,,2,,,,,
HREC,1,1,14,6,2,2,2,3,,,,1,2,,,,1,1,,,,,,
HREC,1,1,15,7,2,2,1,2,,1,2,,1,,,,,,,,,,,
HREC,1,1,16,8,2,2,1,2,,,2,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,GerMol,TriCil,EroCic,CarPac,DicCap,,,,,,
HREC,1,1,1,1,3,3,,1,,,1,,2,,,,,,,,,,,
HREC,1,1,2,2,3,2,1,3,,,2,,2,,,,,,,,,,,
HREC,1,1,3,3,3,2,3,3,,1,1,,3,1,,,,,,,,,,
HREC,1,1,4,4,3,2,2,2,3,,1,,2,,1,1,,,,,,,,
HREC,1,1,5,5,3,2,3,3,,,,1,2,1,,1,,,,,,,,
HREC,1,1,6,6,3,2,1,4,,1,1,2,1,,,,,,,,,,,
HREC,1,1,7,7,3,2,1,2,,,,1,,,,,,,,,,,,
HREC,1,1,8,8,3,2,2,3,,,1,1,1,,,1,,,,,,,,
HREC,1,1,9,1,4,2,2,3,,,1,,3,,,,,,,,,,,
HREC,1,1,10,2,4,2,2,1,,,1,,1,,,,1,,,,,,,
HREC,1,1,11,3,4,2,3,2,,,1,,3,1,1,,,,,,,,,
HREC,1,1,12,4,4,2,1,2,,,1,,2,,,1,,1,,,,,,
