SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,TaeCap,CarPac,Torilis,GalPar,ElyGla,Lagophylla,VicSat,BroMad,VulMyu,CroSet,CynEch,WhiteGlume,AveBar,ClaPur,,,,,,,,,,,,
SFREC,2,1,7,7,1,2,2,3,4,,1,,,2,4,,,3,2,3,2,2,,,,,,,,,,,,
SFREC,2,1,8,8,1,3,1,2,4,,1,,,,5,,1,3,3,2,2,2,,,,,,,,,,,,
SFREC,2,1,9,1,2,4,2,3,,3,2,2,,3,,,,1,,,,,,,,,,,,,,,,
SFREC,2,1,10,2,2,3,2,2,,5,1,2,,2,2,,,2,1,2,,1,,,,,,,,,,,,
SFREC,2,1,11,3,2,2,2,2,,2,1,3,,2,3,,1,3,2,2,2,1,,,1,,,,,,,,,
SFREC,2,1,12,4,2,2,2,5,,,,2,,2,3,1,2,2,1,1,3,,,,,,,,,,,,,
SFREC,2,1,13,5,2,2,1,6,,,1,2,,2,3,,2,3,,1,2,1,,,,1,,,,,,,,
SFREC,2,1,14,6,2,2,1,6,,,,,2,,3,,,2,,1,1,1,,,,1,3,,,,,,,
SFREC,2,1,15,7,2,1,1,5,3,,,2,1,2,3,,,1,,2,,1,,1,,,,2,,,,,,
SFREC,2,1,16,8,2,2,1,3,4,2,,2,,,4,,,3,,3,,2,,,,,,,25,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TaeCap,BroHor,BroMad,GalPar,Torilis,AgoHet,Lagophylla,BroDia,LacSer,VicSat,CynEch,ClaPur,WhiteRib,AirCar,BriMin,EupSpa,PetDub,TriHir,CarPac,MadGra,NavPub,CenMil,TriHya,VulMyu,AnaArv,EroBot,SheArv,Bare,
SFREC,2,1,1,1,3,3,2,2,2,2,1,2,3,,3,2,,,,,,,,,,,,,,4,,,,
SFREC,2,1,2,2,3,3,2,2,2,3,2,3,,,3,1,2,,,,,,,,,,,,,4,,,,
SFREC,2,1,3,3,3,3,1,1,1,3,2,2,5,,,1,2,2,2,,,,,,,,,,,3,1,,,
SFREC,2,1,4,4,3,2,1,,1,3,4,2,5,,3,2,1,2,1,,,,,,,,,,2,,,,,
SFREC,2,1,5,5,3,,1,1,1,2,3,2,6,,1,2,1,,1,,1,,,,,,,,,,,1,,
SFREC,2,1,6,6,3,2,1,,1,2,3,2,6,,3,,,2,,1,1,,,,,,,,1,,,,,
SFREC,2,1,7,7,3,2,1,,1,3,4,2,5,,3,,1,,,1,,,,,1,,,,,,,,,
SFREC,2,1,8,8,3,3,,3,1,3,4,2,4,,,3,1,,2,,2,,,2,,,,,,,,,,
SFREC,2,1,9,1,4,3,,1,2,2,3,2,4,,,,1,1,,,,,,,,1,,,4,,,,,
SFREC,2,1,10,2,4,2,,3,1,2,4,4,3,,2,1,1,2,2,,,,,,,,,,2,,,,,
SFREC,2,1,11,3,4,4,2,2,1,2,3,3,4,,,,,,2,,,,,,,,,,,,,,,
SFREC,2,1,12,4,4,3,2,2,1,3,3,2,4,,3,,,2,1,1,1,,,,,,,,,,,,,
SFREC,2,1,13,5,4,2,,,2,3,2,1,5,1,3,2,2,1,,,,,,,,,,,,,,,,
SFREC,2,1,14,6,4,2,2,,2,3,3,3,5,,3,2,1,,1,1,,,,,,,,,,,,,,
SFREC,2,1,15,7,4,3,,,1,2,2,2,5,,2,,,2,1,,,,1,2,,,,,,,,,,
SFREC,2,1,16,8,4,2,1,1,1,3,3,2,4,,,3,,1,3,2,1,,,2,2,,,,,,,1,10,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TaeCap,BroHor,BroMad,BroDia,GalPar,Torilis,AgoHet,Lagophylla,VulMyu,VicSat,CynEch,ClaPur,WhiteRib,AirCar,BriMin,LacSer,EupSpa,PetDub,TriHir,CarPac,MadGra,NavPub,CenMil,TriHya,EroBot,SheArv,LinPar,Bare,
SFREC,2,1,1,1,5,2,3,,2,1,2,2,2,,,1,3,,1,,,,,,,,4,,,,,,,
SFREC,2,1,2,2,5,4,2,1,3,1,3,3,2,,,,3,,2,1,,1,,,,,3,,,,,,,
SFREC,2,1,3,3,5,3,2,1,,1,2,4,4,2,2,,2,1,2,1,1,,,,,,2,,,,,,,
SFREC,2,1,4,4,5,3,2,,3,1,3,4,2,2,2,,2,2,1,,1,,,,,,,,1,,,,,
SFREC,2,1,5,5,5,3,2,,4,1,2,4,2,,,1,,2,2,,,,,,,,1,,,,,,,
SFREC,2,1,6,6,5,2,1,,5,1,3,4,2,,,1,2,,,,1,1,,1,,3,,,,,,,,
SFREC,2,1,7,7,5,1,1,,3,1,2,4,2,,,,,1,1,2,,1,,2,,2,,3,,,,,,
SFREC,2,1,8,8,5,2,1,1,4,1,1,5,3,,,2,,1,2,1,,,,,1,1,,2,,,,1,,
SFREC,2,1,9,1,6,3,2,,5,,2,,3,,,2,2,2,,,,1,,,,,1,,,,,,,
SFREC,2,1,10,2,6,3,2,,3,,2,2,4,,,,3,1,1,,,1,,,,,2,,,,,,,
SFREC,2,1,11,3,6,3,3,,1,,2,4,3,,2,,3,2,1,,,1,1,,,,,,,,,,8,
SFREC,2,1,12,4,6,2,2,,4,,2,1,3,,2,2,2,3,,,,,1,,1,,,,,,,,,
SFREC,2,1,13,5,6,1,1,,3,1,2,5,3,,,,1,2,2,,,,1,,,,,,,,,,,
SFREC,2,1,14,6,6,1,1,,4,1,2,4,3,,,,1,1,2,1,,1,2,1,,,2,,,,,,,
SFREC,2,1,15,7,6,2,1,,4,1,2,5,3,,,3,,1,2,1,,,,,1,1,,2,,,,,,
SFREC,2,1,16,8,6,3,2,1,3,,2,4,4,,2,3,,1,2,,,2,,,,2,1,,,,1,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TaeCap,BroHor,BroMad,BroDia,GalPar,Torilis,AgoHet,Lagophylla,VulMyu,VicSat,CynEch,ClaPur,WhiteRib,AirCar,BriMin,LacSer,EupSpa,PetDub,TriHir,CarPac,MadGra,NavPub,CenMil,TriHya,SheArv,LolMul,DaucPusil,DicCap,
SFREC,2,1,1,1,7,2,2,,3,1,1,2,3,,2,1,4,2,,,,,2,,,,,,,,,,,
SFREC,2,1,2,2,7,2,2,,3,2,1,2,4,1,,2,2,3,2,,,2,2,,,,,,,,,,,
SFREC,2,1,3,3,7,,2,,3,1,1,3,3,,,,3,3,,,,,1,,,,,,,,1,2,,
SFREC,2,1,4,4,7,2,2,,4,2,2,4,3,,3,,,,,,,2,,,,,,,,,,1,,
SFREC,2,1,5,5,7,1,2,,3,2,2,4,3,,,1,2,2,,,,,,,,2,,,,,,,,
SFREC,2,1,6,6,7,3,2,1,4,1,2,4,3,,,2,1,,2,,,,,,,,,,,,,,,
SFREC,2,1,7,7,7,3,1,2,3,1,1,5,3,,,3,2,2,2,1,,,,,,1,,,,1,,,,
SFREC,2,1,8,8,7,,1,2,3,1,2,4,2,1,,4,,,1,1,,1,,,3,,,,,1,,,,
SFREC,2,1,9,1,8,1,3,,4,1,1,2,3,,,1,1,2,,,,2,2,,,,,,,1,,1,,
SFREC,2,1,10,2,8,1,2,,4,1,2,4,3,,,1,2,2,,,,,2,,,,,,,,,,,
SFREC,2,1,11,3,8,3,2,,3,2,1,3,3,2,,,,2,,,,1,,,,1,,,1,,1,,,
SFREC,2,1,12,4,8,1,1,2,3,1,2,4,3,,,,1,2,,,,1,,,,,,,1,,,,,
SFREC,2,1,13,5,8,3,1,1,4,1,2,3,3,,,1,1,2,,,,,,3,2,,,2,,,,,,
SFREC,2,1,14,6,8,2,2,,4,1,2,3,4,,,2,,1,1,,,1,,,2,,1,,,,,,,
SFREC,2,1,15,7,8,2,2,2,3,1,2,4,3,,2,3,2,,,,,1,,,1,,1,,,,,,,
SFREC,2,1,16,8,8,1,2,2,3,1,1,4,3,,,3,1,,2,,,,,,2,,,1,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TaeCap,BroHor,BroMad,BroDia,GalPar,Torilis,AgoHet,Lagophylla,VulMyu,VicSat,CynEch,ClaPur,WhiteRib,AirCar,BriMin,LacSer,EupSpa,TriHir,NavPub,PetDub,LolMul,Linanthus,TriHya,CarPac,,,,,
SFREC,2,2,1,1,1,2,,,,2,,3,2,1,2,3,,,,1,,,,,,,,,,,,,,
SFREC,2,2,2,2,1,4,1,3,,,,3,3,2,,3,,,,1,,1,,,,,,,,,,,,
SFREC,2,2,3,3,1,5,1,,,,,3,2,3,2,,,,,2,,,,,,,,,,,,,,
SFREC,2,2,4,4,1,4,2,,,1,1,2,,2,,,,,,,1,1,,,,,,,,,,,,
SFREC,2,2,5,5,1,3,,,,1,,3,2,3,,3,,1,,1,,2,2,1,,,,,,,,,,
SFREC,2,2,6,6,1,2,,3,,1,1,4,2,2,,1,,,2,2,1,1,,,1,,,,,,,,,
SFREC,2,2,7,7,1,1,,2,,1,2,5,3,,,2,,,3,2,,,2,3,,1,1,,,,,,,
SFREC,2,2,8,8,1,3,,3,3,,2,3,2,,,3,,,,3,,2,,,2,2,,1,1,,,,,
SFREC,2,2,9,1,2,3,2,3,2,,,3,2,2,,3,,,1,2,,,,,,,,,,,,,,
SFREC,2,2,10,2,2,5,2,2,,,,5,,,,3,,,,2,,1,,,,,,,,,,,,
SFREC,2,2,11,3,2,4,,4,,2,,4,,,,3,,,,1,,,1,,,,,,,,,,,
SFREC,2,2,12,4,2,4,,2,,,,3,,,,3,,,,1,,,,3,,,2,,,,,,,
SFREC,2,2,13,5,2,3,1,3,,,,3,,2,2,,,,,1,,2,,3,1,2,,,,,,,,
SFREC,2,2,14,6,2,2,1,2,4,,,4,,,,2,,,1,2,,,,3,,2,,1,,,,,,
SFREC,2,2,15,7,2,2,2,3,,1,,5,,,,2,,,2,3,,,1,3,2,,1,,,,,,,
SFREC,2,2,16,8,2,5,1,2,2,,2,1,,,,,,,,2,,,1,2,,,,,,,,,,
