site,sample,block,plot,Total Biomass,PerM2,Notes,year,
SFREC,106,2,1,58.33,583.3,,2017,
SFREC,107,2,1,48.83,488.3,,2017,
SFREC,108,2,1,36.19,361.9,,2017,
SFREC,109,2,1,47.6,476,,2017,
SFREC,110,2,1,56.13,561.3,,2017,
SFREC,111,2,2,40.74,407.4,,2017,
SFREC,112,2,2,57.34,573.4,,2017,
SFREC,113,2,2,51.59,515.9,,2017,
SFREC,114,2,2,33.02,330.2,,2017,
SFREC,115,2,2,31.73,317.3,,2017,
SFREC,116,2,2,47.46,474.6,,2017,
SFREC,117,2,2,26.03,260.3,,2017,
SFREC,118,2,2,42.03,420.3,,2017,
SFREC,119,2,2,62.4,624,,2017,
SFREC,120,2,2,59.72,597.2,,2017,
SFREC,121,3,1,50.52,505.2,,2017,
SFREC,122,3,1,22.66,226.6,,2017,
SFREC,123,3,1,23.18,231.8,,2017,
SFREC,124,3,1,23.7,237,,2017,
SFREC,125,3,1,6.71,67.1,,2017,
SFREC,126,3,1,21.83,218.3,,2017,
SFREC,127,3,1,11.38,113.8,,2017,
SFREC,128,3,1,7.97,79.7,,2017,
SFREC,129,3,1,18.36,183.6,,2017,
SFREC,130,3,1,24.07,240.7,,2017,
SFREC,131,3,2,22.64,226.4,,2017,
SFREC,132,3,2,22.21,222.1,,2017,
SFREC,133,3,2,18.81,188.1,,2017,
SFREC,134,3,2,30.51,305.1,,2017,
SFREC,135,3,2,17.3,173,,2017,
SFREC,136,3,2,17.52,175.2,,2017,
SFREC,137,3,2,27.3,273,,2017,
SFREC,138,3,2,13.11,131.1,,2017,
SFREC,139,3,2,27.09,270.9,,2017,
SFREC,140,3,2,17.06,170.6,,2017,
SFREC,141,4,1,36.92,369.2,,2017,
SFREC,142,4,1,27.33,273.3,,2017,
SFREC,143,4,1,25.5,255,,2017,
SFREC,144,4,1,20.17,201.7,,2017,
SFREC,145,4,1,19.66,196.6,,2017,
SFREC,146,4,1,27.53,275.3,,2017,
SFREC,147,4,1,24.57,245.7,,2017,
SFREC,148,4,1,26.35,263.5,,2017,
SFREC,149,4,1,29.12,291.2,,2017,
SFREC,150,4,1,25.27,252.7,,2017,
SFREC,151,4,2,25.58,255.8,,2017,
SFREC,152,4,2,21.96,219.6,,2017,
SFREC,153,4,2,36.99,369.9,,2017,
SFREC,154,4,2,20.81,208.1,,2017,
SFREC,155,4,2,33.14,331.4,,2017,
SFREC,156,4,2,31.72,317.2,,2017,
SFREC,157,4,2,15.79,157.9,,2017,
SFREC,158,4,2,35.75,357.5,,2017,
SFREC,159,4,2,16.56,165.6,,2017,
SFREC,160,4,2,21.87,218.7,,2017,
HREC,161,1,1,48.95,489.5,,2017,
HREC,162,1,1,36.39,363.9,,2017,
HREC,163,1,1,23.49,234.9,,2017,
HREC,164,1,1,22.86,228.6,,2017,
HREC,165,1,1,26.68,266.8,,2017,
HREC,166,1,1,19.79,197.9,,2017,
HREC,167,1,1,22.56,225.6,,2017,
HREC,168,1,1,34.71,347.1,,2017,
HREC,169,1,1,38.79,387.9,,2017,
HREC,170,1,1,27.25,272.5,,2017,
HREC,171,1,2,51.77,517.7,,2017,
HREC,172,1,2,31.46,314.6,,2017,
HREC,173,1,2,38.29,382.9,,2017,
HREC,174,1,2,32.77,327.7,,2017,
HREC,175,1,2,45.32,453.2,,2017,
HREC,176,1,2,45.17,451.7,,2017,
HREC,177,1,2,43.32,433.2,,2017,
HREC,178,1,2,53.67,536.7,,2017,
HREC,179,1,2,50.97,509.7,,2017,
HREC,180,1,2,58.71,587.1,,2017,
HREC,181,2,1,64.94,649.4,,2017,
HREC,182,2,1,64.11,641.1,,2017,
HREC,183,2,1,43.35,433.5,,2017,
HREC,184,2,1,51.92,519.2,,2017,
HREC,185,2,1,46.82,468.2,,2017,
HREC,186,2,1,57.75,577.5,,2017,
HREC,187,2,1,68.73,687.3,,2017,
HREC,188,2,1,50.83,508.3,,2017,
HREC,189,2,1,61.56,615.6,,2017,
HREC,190,2,1,63.2,632,,2017,
HREC,191,2,2,59.5,595,,2017,
HREC,192,2,2,53.22,532.2,,2017,
HREC,193,2,2,,,,2017,
HREC,194,2,2,,,,2017,
HREC,195,2,2,67.4,674,,2017,
HREC,196,2,2,52.33,523.3,,2017,
HREC,197,2,2,70.89,708.9,,2017,
HREC,198,2,2,50.11,501.1,,2017,
HREC,199,2,2,53.23,532.3,,2017,
HREC,200,2,2,69.22,692.2,,2017,
HREC,201,3,1,,,,2017,
HREC,202,3,1,,,,2017,
HREC,203,3,1,,,,2017,
HREC,204,3,1,,,,2017,
HREC,205,3,1,,,,2017,
HREC,206,3,1,,,,2017,
HREC,207,3,1,,,,2017,
HREC,208,3,1,,,,2017,
HREC,209,3,1,,,,2017,
HREC,210,3,1,,,,2017,
HREC,211,3,2,,,,2017,
HREC,212,3,2,25.33,253.3,,2017,
HREC,213,3,2,21.71,217.1,,2017,
HREC,214,3,2,,,,2017,
HREC,215,3,2,,,,2017,
HREC,216,3,2,32.2,322,,2017,
HREC,217,3,2,32.57,325.7,,2017,
HREC,218,3,2,24.75,247.5,,2017,
HREC,219,3,2,31.6,316,,2017,
HREC,220,3,2,27.43,274.3,,2017,
HREC,221,4,1,20.72,207.2,,2017,
HREC,222,4,1,40.28,402.8,,2017,
HREC,223,4,1,28.2,282,,2017,
HREC,224,4,1,32.31,323.1,,2017,
HREC,225,4,1,25.37,253.7,,2017,
HREC,226,4,1,24.51,245.1,,2017,
HREC,227,4,1,13.25,132.5,,2017,
HREC,228,4,1,26.12,261.2,,2017,
HREC,229,4,1,50.27,502.7,,2017,
HREC,230,4,1,,,,2017,
HREC,231,4,2,25.45,254.5,,2017,
HREC,232,4,2,,,,2017,
HREC,233,4,2,21.84,218.4,,2017,
HREC,234,4,2,29.9,299,,2017,
HREC,235,4,2,30.49,304.9,,2017,
HREC,236,4,2,31.04,310.4,,2017,
HREC,237,4,2,,,,2017,
HREC,238,4,2,,,,2017,
HREC,239,4,2,29.97,299.7,,2017,
HREC,240,4,2,,,,2017,
